 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
   61   3.0193E-02   2.6916E-02   1.3372E-03   1.9310E-03    0.000        0.000        0.000        0.000    
   62   2.8458E-02   2.4940E-02   1.9149E-03   1.5961E-03    0.000        0.000        0.000        0.000    
   63   3.0184E-02   2.6299E-02   1.8094E-03   2.0693E-03    0.000        0.000        0.000        0.000    
   64   2.9539E-02   2.6526E-02   1.1808E-03   1.8258E-03    0.000        0.000        0.000        0.000    
   65   2.7087E-02   2.4163E-02   1.2540E-03   1.6640E-03    0.000        0.000        0.000        0.000    
   66   2.7128E-02   2.3811E-02   1.7326E-03   1.5781E-03    0.000        0.000        0.000        0.000    
   67   2.9892E-02   2.6446E-02   1.4848E-03   1.9540E-03    0.000        0.000        0.000        0.000    
   68   2.9012E-02   2.4934E-02   1.9162E-03   2.1559E-03    0.000        0.000        0.000        0.000    
   69   2.9520E-02   2.5434E-02   2.1174E-03   1.9616E-03    0.000        0.000        0.000        0.000    
   70   3.0479E-02   2.6009E-02   2.1434E-03   2.3178E-03    0.000        0.000        0.000        0.000    
   71   3.0341E-02   2.6918E-02   1.3395E-03   2.0775E-03    0.000        0.000        0.000        0.000    
   72   2.6309E-02   2.2382E-02   2.0821E-03   1.8384E-03    0.000        0.000        0.000        0.000    
   73   2.8611E-02   2.4367E-02   2.0719E-03   2.1655E-03    0.000        0.000        0.000        0.000    
   74   3.2197E-02   2.8465E-02   1.6548E-03   2.0696E-03    0.000        0.000        0.000        0.000    
   75   2.9431E-02   2.5259E-02   2.1538E-03   2.0111E-03    0.000        0.000        0.000        0.000    
   76   2.7422E-02   2.3232E-02   2.0874E-03   2.0945E-03    0.000        0.000        0.000        0.000    
   77   3.0798E-02   2.6947E-02   1.7474E-03   2.0981E-03    0.000        0.000        0.000        0.000    
   78   3.0942E-02   2.6648E-02   1.8763E-03   2.4119E-03    0.000        0.000        0.000        0.000    
   79   3.0004E-02   2.5145E-02   2.4673E-03   2.3816E-03    0.000        0.000        0.000        0.000    
