 Ngrid    =         512 Npart    =    16777216 Nthreads =          32
  Step   Tot/min      Force       Move          Density      IO         Bias       BDM        Analysis
   66   0.3010       2.6241E-02   2.0162E-03   6.1390E+04    0.000        0.000        0.000        0.000    
   67   0.2770       2.7989E-02   1.4974E-03   6.2364E+04    0.000        0.000        0.000        0.000    
   68   0.2832       3.3462E-02   2.4556E-03   6.3330E+04    0.000        0.000        0.000        0.000    
   69   0.2976       2.3529E-02   1.7151E-03   6.4402E+04    0.000        0.000        0.000        0.000    
   70   0.2690       2.3081E-02   1.4832E-03   6.5356E+04    0.000        0.000        0.000        0.000    
   71   0.2741       2.7242E-02   1.8168E-03   6.6296E+04    0.000        0.000        0.000        0.000    
   72   0.2688       2.5812E-02   1.3733E-03   6.7249E+04    0.000        0.000        0.000        0.000    
   73   0.2693       2.4866E-02   1.5788E-03   6.8190E+04    0.000        0.000        0.000        0.000    
   74   0.2639       2.1853E-02   1.6581E-03   6.9126E+04    0.000        0.000        0.000        0.000    
   75   0.2648       2.1313E-02   1.7578E-03   7.0051E+04    0.000        0.000        0.000        0.000    
   76   0.2685       2.7047E-02   1.3875E-03   7.0972E+04    0.000        0.000        0.000        0.000    
   77   0.2745       3.1976E-02   2.0426E-03   7.1910E+04    0.000        0.000        0.000        0.000    
   78   0.2710       2.6422E-02   1.7558E-03   7.2875E+04    0.000        0.000        0.000        0.000    
   79   0.2676       2.5956E-02   1.9043E-03   7.3814E+04    0.000        0.000        0.000        0.000    
   80   0.2702       2.6585E-02   1.9714E-03   7.4752E+04    0.000        0.000        0.000        0.000    
   81   0.2646       2.4750E-02   2.1016E-03   7.5690E+04    0.000        0.000        0.000        0.000    
   82   0.2644       2.7325E-02   1.9552E-03   7.6611E+04    0.000        0.000        0.000        0.000    
   83   0.2588       2.6825E-02   2.4679E-03   7.7522E+04    0.000        0.000        0.000        0.000    
   84   0.2560       2.6288E-02   2.0040E-03   7.8425E+04    0.000        0.000        0.000        0.000    
   85   0.2546       2.6935E-02   2.2949E-03   7.9312E+04    0.000        0.000        0.000        0.000    
   86   0.2493       2.2032E-02   1.8148E-03   8.0204E+04    0.000        0.000        0.000        0.000    
   87   0.2494       2.3572E-02   1.9124E-03   8.1070E+04    0.000        0.000        0.000        0.000    
   88   0.2520       2.5970E-02   2.0223E-03   8.1943E+04    0.000        0.000        0.000        0.000    
   89   0.2542       2.7279E-02   2.2603E-03   8.2823E+04    0.000        0.000        0.000        0.000    
   90   0.2531       2.7240E-02   2.6449E-03   8.3710E+04    0.000        0.000        0.000        0.000    
   91   0.2864       2.5248E-02   2.0610E-03   8.4703E+04    0.000        0.000        0.000        0.000    
   92   0.2528       2.7478E-02   2.3783E-03   8.5593E+04    0.000        0.000        0.000        0.000    
   93   0.2518       2.6721E-02   1.8331E-03   8.6476E+04    0.000        0.000        0.000        0.000    
   94   0.2460       2.2837E-02   2.0223E-03   8.7353E+04    0.000        0.000        0.000        0.000    
   95   0.2510       2.6430E-02   2.5248E-03   8.8214E+04    0.000        0.000        0.000        0.000    
   96   0.2503       2.7299E-02   1.9145E-03   8.9087E+04    0.000        0.000        0.000        0.000    
   97   0.2469       2.3234E-02   2.0650E-03   8.9964E+04    0.000        0.000        0.000        0.000    
   98   0.2426       1.9222E-02   2.1098E-03   9.0824E+04    0.000        0.000        0.000        0.000    
   99   0.2567       3.1565E-02   2.5716E-03   9.1675E+04    0.000        0.000        0.000        0.000    
  100   0.2655       2.4025E-02   2.3560E-03   9.2629E+04    0.000        0.000        0.000        0.000    
  101   0.2502       2.6422E-02   2.3010E-03   9.3499E+04    0.000        0.000        0.000        0.000    
  102   0.2485       2.5224E-02   2.1444E-03   9.4371E+04    0.000        0.000        0.000        0.000    
  103   0.2495       2.6430E-02   2.1586E-03   9.5239E+04    0.000        0.000        0.000        0.000    
  104   0.2449       2.2288E-02   2.2115E-03   9.6107E+04    0.000        0.000        0.000        0.000    
  105   0.2470       2.3812E-02   2.4943E-03   9.6965E+04    0.000        0.000        0.000        0.000    
  106   0.2504       2.7425E-02   2.0040E-03   9.7828E+04    0.000        0.000        0.000        0.000    
  107   0.2470       2.5346E-02   2.0365E-03   9.8702E+04    0.000        0.000        0.000        0.000    
  108   0.3043       2.5844E-02   2.4292E-03   9.9563E+04   3.0092E-02    0.000        0.000       4.2965E-02
  109   0.2460       2.5028E-02   2.7283E-03   1.0062E+05    0.000        0.000        0.000        0.000    
  110   0.2505       2.7336E-02   2.2664E-03   1.0149E+05    0.000        0.000        0.000        0.000    
  111   0.2473       2.6117E-02   2.1667E-03   1.0236E+05    0.000        0.000        0.000        0.000    
  112   0.1947       2.6597E-02   2.1830E-03   7.7348E+04    0.000        0.000        0.000        0.000    
  113   0.1885       2.0565E-02   2.2705E-03   7.7858E+04    0.000        0.000        0.000        0.000    
  114   0.1953       2.7574E-02   2.2319E-03   7.8351E+04    0.000        0.000        0.000        0.000    
  115   0.1939       2.5468E-02   2.5024E-03   7.8863E+04    0.000        0.000        0.000        0.000    
  116   0.1898       2.2648E-02   2.2278E-03   7.9370E+04    0.000        0.000        0.000        0.000    
  117   0.2476       2.5950E-02   2.1790E-03   1.0658E+05    0.000        0.000        0.000        0.000    
  118   0.1931       2.5427E-02   2.4373E-03   8.0517E+04    0.000        0.000        0.000        0.000    
  119   0.1956       2.6685E-02   2.2095E-03   8.1025E+04    0.000        0.000        0.000        0.000    
  120   0.1913       2.3120E-02   2.0813E-03   8.1535E+04    0.000        0.000        0.000        0.000    
  121   0.1934       2.5934E-02   2.2868E-03   8.2035E+04    0.000        0.000        0.000        0.000    
  122   0.1944       2.6442E-02   2.2359E-03   8.2543E+04    0.000        0.000        0.000        0.000    
  123   0.1925       2.4648E-02   2.2583E-03   8.3053E+04    0.000        0.000        0.000        0.000    
  124   0.2452       2.3755E-02   2.3966E-03   8.3557E+04   2.4821E-02    0.000        0.000       4.0550E-02
